"articulo_wikipedia","link_completo","links"
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Conferencia de Río de 1942","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm ","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm ","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm "
"Crónica mexicana","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Códice Ramírez","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Usuario:MLquiroa","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx "
"El Colegio de México","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Wikipedia:Encuentros/Editatón Louis Pouzin, tercer inventor de internet","http://biblioteca.colmex.mx/%7C ","http://biblioteca.colmex.mx/%7C "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx// "
"Wikipedia:Café/Archivo/2010/Julio","http://biblioteca.colmex.mx/content/view/33706/445/ ","http://biblioteca.colmex.mx/content/view/33706/445/ "
"Wikipedia:Café/Portal/Archivo/Políticas/2010/07","http://biblioteca.colmex.mx/content/view/33706/445/ ","http://biblioteca.colmex.mx/content/view/33706/445/ "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/directorio?limitstart=0 ","http://biblioteca.colmex.mx/index.php/directorio?limitstart=0 "
"El Colegio de México","http://biblioteca.colmex.mx/index.php/informacion-general ","http://biblioteca.colmex.mx/index.php/informacion-general "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/informacion-general ","http://biblioteca.colmex.mx/index.php/informacion-general "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/nuestras-colecciones ","http://biblioteca.colmex.mx/index.php/nuestras-colecciones "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/servicios ","http://biblioteca.colmex.mx/index.php/servicios "
"Directory of Open Access Journals","http://biblioteca.colmex.mx/revistas/ ","http://biblioteca.colmex.mx/revistas/ "
"Ana María Barrenechea","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 ","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 "
"Nueva Revista de Filología Hispánica","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 ","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 "
"Usuario discusión:ROLODO9821","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=2&doc_number=000092985&set_no=001819&set_entry=1&no_records=2&busqueda=%3Cstrong%3E%20Henderson%20Peter%20V.N.%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Henderson%20Peter%20V.N.&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=2&doc_number=000092985&set_no=001819&set_entry=1&no_records=2&busqueda=%3Cstrong%3E%20Henderson%20Peter%20V.N.%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Henderson%20Peter%20V.N.&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Mario Bronfman","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Discusión:Mario Bronfman","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Brígida García Guzmán","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau ","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau "
"Discusión:Brígida García Guzmán","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau ","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau "
"Clara Lida","http://catedramex-esp.colmex.mx/ ","http://catedramex-esp.colmex.mx/ "
"Clara Lida","http://catedramex-esp.colmex.mx/index.php/7-clara-e-lida ","http://catedramex-esp.colmex.mx/index.php/7-clara-e-lida "
"Japonología","http://ceaa.colmex.mx/ ","http://ceaa.colmex.mx/ "
"Usuario discusión:Freresdeshommes-France","http://ceaa.colmex.mx/ ","http://ceaa.colmex.mx/ "
"Saurabh Dube","http://ceaa.colmex.mx/12-planta-docente-y-de-investigacion/35-ishita-banerjee-dube ","http://ceaa.colmex.mx/12-planta-docente-y-de-investigacion/35-ishita-banerjee-dube "
"Ghana","http://ceaa.colmex.mx/aladaa/XII%20CONGRESO%20INTERNACIONAL%20DE%20ALADAA/varelahilda.pdf ","http://ceaa.colmex.mx/aladaa/XII%20CONGRESO%20INTERNACIONAL%20DE%20ALADAA/varelahilda.pdf "
"Acapulco de Juárez","http://ceaa.colmex.mx/aladaa/imagesmemoria/andresdelcastillo.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/andresdelcastillo.pdf "
"Inmigración coreana en Argentina","http://ceaa.colmex.mx/aladaa/imagesmemoria/carolinamera.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/carolinamera.pdf "
"Ciudad-Estado","http://ceaa.colmex.mx/aladaa/imagesmemoria/mesopotamiawalburga.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/mesopotamiawalburga.pdf "
"Inmigración asiática en Argentina","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/trincheri.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/trincheri.pdf "
"Usuario discusión:Freresdeshommes-France","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/martinez_jimena.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/martinez_jimena.pdf "
"Usuario:2x2leax/Taller","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/onaha_losjaponeses.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/onaha_losjaponeses.pdf "
"Café El Japonés","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/uehara.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/uehara.pdf "
"Pequeño Seúl","http://ceaa.colmex.mx/estudioscoreanos/images/kim.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/kim.pdf "
"Chaebol","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf "
"Daewoo","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf "
"Inmigración coreana en Argentina","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf "
"Discusión:Inmigración coreana en Argentina","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf "
"Saurabh Dube","http://ceaa.colmex.mx/profesores/paginadube/dubeindex.htm ","http://ceaa.colmex.mx/profesores/paginadube/dubeindex.htm "
"Urbanismo en México","http://cedua.colmex.mx/ ","http://cedua.colmex.mx/ "
"Centro de Estudios Demográficos, Urbanos y Ambientales","http://cedua.colmex.mx/ ","http://cedua.colmex.mx/ "
"El Colegio de México","http://cedua.colmex.mx/component/content/article/46-lineamientos-para-publicaciones/96-revista ","http://cedua.colmex.mx/component/content/article/46-lineamientos-para-publicaciones/96-revista "
"Carlos Javier Echarri Cánovas","http://cedua.colmex.mx/component/zoo/item/carlos-javier-echarri-canovas.html ","http://cedua.colmex.mx/component/zoo/item/carlos-javier-echarri-canovas.html "
"Manuel Ordorica Mellado","http://cedua.colmex.mx/component/zoo/item/manuel-ordorica-mellado.html ","http://cedua.colmex.mx/component/zoo/item/manuel-ordorica-mellado.html "
